Title,total_reviews,positive_reviews,negative_reviews,positive_percentage,negative_percentage
The Hobbit,22023,21801,222,98.99,1.01
Pride and Prejudice,20371,19970,401,98.03,1.97
Atlas Shrugged,12513,11264,1249,90.02,9.98
Wuthering Heights,10780,10619,161,98.51,1.49
The Giver,7644,7574,70,99.08,0.92
Great Expectations,7421,7212,209,97.18,2.82
Harry Potter and The Sorcerer's Stone,6796,6734,62,99.09,0.91
Of Mice and Men,6728,6668,60,99.11,0.89
Brave New World,6312,6150,162,97.43,2.57
Mere Christianity,6053,5628,425,92.98,7.02
The Picture of Dorian Gray,5883,5713,170,97.11,2.89
Persuasion,5498,5393,105,98.09,1.91
The Great Gatsby,5291,5169,122,97.69,2.31
Fahrenheit 451,4932,4863,69,98.6,1.4
To kill a mockingbird,4805,4721,84,98.25,1.75
The Scarlet Letter A Romance,4610,4478,132,97.14,2.86
The Hobbit There and Back Again,4438,4394,44,99.01,0.99
"The Hobbit; Or, There and Back Again",4427,4385,42,99.05,0.95
"The Hobbitt, or there and back again; illustrated by the author.",4420,4376,44,99.0,1.0
The Hobbit or There and Back Again,4373,4327,46,98.95,1.05
Little Women,4176,4090,86,97.94,2.06
The Hitchhiker's Guide to the Galaxy,4042,3946,96,97.62,2.38
Gone with the Wind,3948,3835,113,97.14,2.86
A Tree Grows in Brooklyn,3904,3850,54,98.62,1.38
1984,3774,3692,82,97.83,2.17
Ulysses,3665,3327,338,90.78,9.22
Holes,3568,3538,30,99.16,0.84
The Catcher in the Rye,3280,3217,63,98.08,1.92
The Catcher in the Rye [Audiobook] [Cd] [Unabridged] (Audio CD),3270,3207,63,98.07,1.93
THE CATCHER IN THE RYE,3260,3197,63,98.07,1.93
East of Eden,3258,3168,90,97.24,2.76
The Stranger,3223,3138,85,97.36,2.64
"ERAGON: INHERITANCE, BOOK ONE.",3137,2947,190,93.94,6.06
Harry Potter and the Chamber of Secrets,3137,3106,31,99.01,0.99
Lord of the flies,3119,3083,36,98.85,1.15
Lord of the Flies,3107,3072,35,98.87,1.13
Hatchet,3076,3064,12,99.61,0.39
Unfit for Command: Swift Boat Veterans Speak Out Against John Kerry,3025,2300,725,76.03,23.97
Jane Eyre,3025,2981,44,98.55,1.45
Alice's Adventures in Wonderland,3009,2957,52,98.27,1.73
Slaughterhouse-Five,2975,2918,57,98.08,1.92
Harry Potter & the Prisoner of Azkaban,2947,2917,30,98.98,1.02
Stranger in a Strange Land,2934,2848,86,97.07,2.93
